NumberOfMonths,Artist,Album,SongName,January 2016,February 2016,March 2016,April 2016,May 2016,June 2016,July 2016,August 2016,September 2016,October 2016,November 2016,December 2016,January 2017,February 2017,March 2017,April 2017,May 2017,June 2017,July 2017,August 2017,September 2017,October 2017,November 2017,December 2017,January 2018,February 2018,March 2018,April 2018,May 2018,June 2018,July 2018,August 2018,September 2018,October 2018,November 2018,December 2018,January 2019,February 2019,March 2019,April 2019,May 2019,June 2019,July 2019,August 2019,September 2019,October 2019,November 2019,December 2019,January 2020,February 2020,March 2020,April 2020,May 2020,June 2020,July 2020,August 2020,September 2020,October 2020,November 2020,December 2020,January 2021,February 2021,March 2021,April 2021,May 2021,June 2021,July 2021,August 2021,September 2021,October 2021,November 2021,December 2021,January 2022,February 2022,March 2022,April 2022,May 2022,June 2022,July 2022,August 2022,September 2022,October 2022
7,Beyoncé,Beyoncé,XO,-,-,-,-,-,-,XO,-,-,-,-,-,-,XO,XO,-,-,-,-,XO,-,-,-,-,XO,-,-,-,-,-,-,-,-,-,-,-,-,-,XO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,XO
4,Imagine Dragons,Mercury - Act 1,Wrecked,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Wrecked,Wrecked,Wrecked,Wrecked
24,Hozier,Hozier,Work Song,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Work Song,Work Song,Work Song,Work Song,Work Song,Work Song,Work Song,Work Song,Work Song,Work Song,Work Song,-,Work Song,-,Work Song,Work Song,-,-,-,Work Song,Work Song,-,Work Song,Work Song,Work Song,Work Song,Work Song,Work Song,Work Song,-,Work Song
14,The Revivalists,Men Amongst Mountains,Wish I Knew You,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Wish I Knew You,Wish I Knew You,Wish I Knew You,Wish I Knew You,Wish I Knew You,Wish I Knew You,Wish I Knew You,Wish I Knew You,Wish I Knew You,Wish I Knew You,-,Wish I Knew You,Wish I Knew You,Wish I Knew You,Wish I Knew You
2,Gryffin,Winnebago (feat. Quinn XCII & Daniel Wilson) - Single,Winnebago (feat. Quinn XCII & Daniel Wilson),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Winnebago (feat. Quinn XCII & Daniel Wilson),Winnebago (feat. Quinn XCII & Daniel Wilson)
4,ODESZA,The Last Goodbye,Wide Awake (feat. Charlie Houston),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Wide Awake (feat. Charlie Houston),Wide Awake (feat. Charlie Houston),Wide Awake (feat. Charlie Houston),Wide Awake (feat. Charlie Houston)
2,Dominic Fike,What Could Possibly Go Wrong,Why,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Why,Why
5,Halsey,"If I Can’t Have Love, I Want Power",Whispers,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Whispers,Whispers,Whispers,Whispers,Whispers
32,Fort Minor,The Rising Tied,Where'd You Go (feat. Holly Brook & Jonah Montranga),-,-,Where'd You Go (feat. Holly Brook & Jonah Montranga),Where'd You Go (feat. Holly Brook & Jonah Montranga),Where'd You Go (feat. Holly Brook & Jonah Montranga),Where'd You Go (feat. Holly Brook & Jonah Montranga),Where'd You Go (feat. Holly Brook & Jonah Montranga),Where'd You Go (feat. Holly Brook & Jonah Montranga),Where'd You Go (feat. Holly Brook & Jonah Montranga),Where'd You Go (feat. Holly Brook & Jonah Montranga),Where'd You Go (feat. Holly Brook & Jonah Montranga),Where'd You Go (feat. Holly Brook & Jonah Montranga),Where'd You Go (feat. Holly Brook & Jonah Montranga),Where'd You Go (feat. Holly Brook & Jonah Montranga),Where'd You Go (feat. Holly Brook & Jonah Montranga),Where'd You Go (feat. Holly Brook & Jonah Montranga),Where'd You Go (feat. Holly Brook & Jonah Montranga),Where'd You Go (feat. Holly Brook & Jonah Montranga),Where'd You Go (feat. Holly Brook & Jonah Montranga),Where'd You Go (feat. Holly Brook & Jonah Montranga),Where'd You Go (feat. Holly Brook & Jonah Montranga),-,-,-,Where'd You Go (feat. Holly Brook & Jonah Montranga),Where'd You Go (feat. Holly Brook & Jonah Montranga),-,-,Where'd You Go (feat. Holly Brook & Jonah Montranga),Where'd You Go (feat. Holly Brook & Jonah Montranga),-,-,-,-,Where'd You Go (feat. Holly Brook & Jonah Montranga),-,-,-,-,-,-,-,-,-,-,-,-,-,Where'd You Go (feat. Holly Brook & Jonah Montranga),Where'd You Go (feat. Holly Brook & Jonah Montranga),-,-,-,-,-,-,-,-,-,-,-,Where'd You Go (feat. Holly Brook & Jonah Montranga),-,-,-,Where'd You Go (feat. Holly Brook & Jonah Montranga),-,-,-,Where'd You Go (feat. Holly Brook & Jonah Montranga),-,-,-,-,-,-,-,-,-,Where'd You Go (feat. Holly Brook & Jonah Montranga),Where'd You Go (feat. Holly Brook & Jonah Montranga),Where'd You Go (feat. Holly Brook & Jonah Montranga)
2,Russ,When This Was All New - Single,When This Was All New,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,When This Was All New,When This Was All New
10,Quinn XCII,Change of Scenery II,We Don't Talk Enough (feat. Alexander 23),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,We Don't Talk Enough (feat. Alexander 23),We Don't Talk Enough (feat. Alexander 23),We Don't Talk Enough (feat. Alexander 23),We Don't Talk Enough (feat. Alexander 23),We Don't Talk Enough (feat. Alexander 23),We Don't Talk Enough (feat. Alexander 23),We Don't Talk Enough (feat. Alexander 23),We Don't Talk Enough (feat. Alexander 23),We Don't Talk Enough (feat. Alexander 23),We Don't Talk Enough (feat. Alexander 23)
3,The Band CAMINO,The Band CAMINO,Underneath My Skin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Underneath My Skin,Underneath My Skin,Underneath My Skin
27,Rihanna,Good Girl Gone Bad: Reloaded,Umbrella (feat. Jay-Z),Umbrella (feat. Jay-Z),Umbrella (feat. Jay-Z),Umbrella (feat. Jay-Z),Umbrella (feat. Jay-Z),Umbrella (feat. Jay-Z),Umbrella (feat. Jay-Z),Umbrella (feat. Jay-Z),Umbrella (feat. Jay-Z),Umbrella (feat. Jay-Z),-,-,Umbrella (feat. Jay-Z),-,-,-,-,-,Umbrella (feat. Jay-Z),-,-,-,-,-,-,-,-,-,-,-,Umbrella (feat. Jay-Z),-,Umbrella (feat. Jay-Z),-,-,-,Umbrella (feat. Jay-Z),Umbrella (feat. Jay-Z),Umbrella (feat. Jay-Z),Umbrella (feat. Jay-Z),Umbrella (feat. Jay-Z),Umbrella (feat. Jay-Z),-,Umbrella (feat. Jay-Z),Umbrella (feat. Jay-Z),-,-,-,-,-,-,-,Umbrella (feat. Jay-Z),-,Umbrella (feat. Jay-Z),Umbrella (feat. Jay-Z),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Umbrella (feat. Jay-Z),-,-,-,-,Umbrella (feat. Jay-Z),-,-,-,Umbrella (feat. Jay-Z)
3,Tove Lo,Dirt Femme,True Romance,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,True Romance,True Romance,True Romance
17,Katy Perry,Teenage Dream,The One That Got Away,-,-,-,-,-,-,The One That Got Away,The One That Got Away,The One That Got Away,The One That Got Away,The One That Got Away,The One That Got Away,-,The One That Got Away,-,-,-,The One That Got Away,The One That Got Away,-,-,-,-,-,The One That Got Away,-,-,-,The One That Got Away,-,-,-,-,-,-,The One That Got Away,-,The One That Got Away,-,-,-,The One That Got Away,-,-,The One That Got Away,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,The One That Got Away,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,The One That Got Away
4,ODESZA,The Last Goodbye,The Last Goodbye (feat. Bettye LaVette),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,The Last Goodbye (feat. Bettye LaVette),The Last Goodbye (feat. Bettye LaVette),The Last Goodbye (feat. Bettye LaVette),The Last Goodbye (feat. Bettye LaVette)
5,Gatlin,Sugarcoated - EP,Talking to Myself,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Talking to Myself,Talking to Myself,Talking to Myself,Talking to Myself,Talking to Myself
4,Sammy Rae & The Friends,The Good Life - EP,Talk It Up,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Talk It Up,Talk It Up,Talk It Up,-,Talk It Up
43,LÉON,Surround Me - EP,Surround Me,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Surround Me,Surround Me,Surround Me,Surround Me,Surround Me,Surround Me,Surround Me,Surround Me,Surround Me,Surround Me,Surround Me,Surround Me,Surround Me,Surround Me,Surround Me,Surround Me,Surround Me,Surround Me,Surround Me,Surround Me,Surround Me,Surround Me,Surround Me,Surround Me,Surround Me,Surround Me,Surround Me,Surround Me,Surround Me,Surround Me,Surround Me,Surround Me,Surround Me,Surround Me,Surround Me,Surround Me,Surround Me,Surround Me,Surround Me,Surround Me,Surround Me,Surround Me,Surround Me
7,Jaden,ERYS,Summertime in Paris (feat. Willow),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Summertime in Paris (feat. Willow),Summertime in Paris (feat. Willow),Summertime in Paris (feat. Willow),Summertime in Paris (feat. Willow),Summertime in Paris (feat. Willow),Summertime in Paris (feat. Willow),Summertime in Paris (feat. Willow)
3,Noah Kahan,Stick Season - Single,Stick Season,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Stick Season,Stick Season,Stick Season
14,Taylor Swift,Red,State of Grace,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,State of Grace,State of Grace,State of Grace,State of Grace,State of Grace,State of Grace,State of Grace,State of Grace,State of Grace,State of Grace,State of Grace,State of Grace,State of Grace,-,-,-,-,State of Grace
6,Ivy Mono,Stars Are Blind - Single,Stars Are Blind,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Stars Are Blind,Stars Are Blind,Stars Are Blind,Stars Are Blind,Stars Are Blind,Stars Are Blind
1,Led Zeppelin,Led Zepplin IV,Stairway to Heaven,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Stairway to Heaven
10,beabadoobee,Space Cadet - EP,Space Cadet,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Space Cadet,Space Cadet,Space Cadet,Space Cadet,Space Cadet,Space Cadet,Space Cadet,Space Cadet,Space Cadet,-,-,-,-,Space Cadet
2,Bryce Vine,Lazy Fair - EP,Sour Patch Kids,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sour Patch Kids,Sour Patch Kids
6,Nathaniel Rateliff,Closer - EP,Something Beautiful,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Something Beautiful,Something Beautiful,Something Beautiful,Something Beautiful,-,-,Something Beautiful,-,-,-,-,-,-,-,-,-,-,-,-,Something Beautiful
26,Fun.,Some Nights,Some Nights,-,-,Some Nights,-,-,-,-,-,-,-,Some Nights,Some Nights,Some Nights,-,-,Some Nights,-,-,-,Some Nights,-,-,-,-,Some Nights,Some Nights,Some Nights,Some Nights,Some Nights,Some Nights,-,Some Nights,-,-,Some Nights,Some Nights,Some Nights,Some Nights,-,-,-,-,Some Nights,-,-,-,-,-,Some Nights,-,-,-,Some Nights,-,-,-,-,-,-,-,-,-,-,Some Nights,Some Nights,-,-,-,-,-,Some Nights,-,Some Nights,-,-,-,-,-,-,Some Nights,-,Some Nights
4,LÉON,Circles [3],Soaked,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Soaked,Soaked,Soaked,Soaked
3,Greyson Chance,portraits,shut up [2],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,shut up [2],shut up [2],shut up [2]
2,Porter Robinson,Shelter - Single,Shelter (fear. Madeon),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Shelter (fear. Madeon),Shelter (fear. Madeon)
7,Guster,Ganging up on the Sun,Satellite,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Satellite,Satellite,Satellite,Satellite,Satellite,Satellite,Satellite
35,Kanye West,My Beautiful Dark Twisted Fantasy,Runaway (feat. Pusha T),-,-,Runaway (feat. Pusha T),Runaway (feat. Pusha T),Runaway (feat. Pusha T),Runaway (feat. Pusha T),Runaway (feat. Pusha T),Runaway (feat. Pusha T),Runaway (feat. Pusha T),Runaway (feat. Pusha T),-,Runaway (feat. Pusha T),Runaway (feat. Pusha T),Runaway (feat. Pusha T),Runaway (feat. Pusha T),-,Runaway (feat. Pusha T),-,-,Runaway (feat. Pusha T),-,-,-,Runaway (feat. Pusha T),Runaway (feat. Pusha T),-,-,Runaway (feat. Pusha T),Runaway (feat. Pusha T),Runaway (feat. Pusha T),Runaway (feat. Pusha T),-,-,Runaway (feat. Pusha T),-,-,Runaway (feat. Pusha T),-,-,-,-,-,Runaway (feat. Pusha T),-,-,Runaway (feat. Pusha T),-,-,-,-,-,Runaway (feat. Pusha T),Runaway (feat. Pusha T),-,-,-,-,-,-,Runaway (feat. Pusha T),-,Runaway (feat. Pusha T),-,-,Runaway (feat. Pusha T),-,Runaway (feat. Pusha T),-,Runaway (feat. Pusha T),-,Runaway (feat. Pusha T),Runaway (feat. Pusha T),-,Runaway (feat. Pusha T),-,-,-,-,-,-,-,Runaway (feat. Pusha T)
26,Carly Rae Jepsen,E•MO•TION,Run Away with Me,-,-,-,Run Away with Me,Run Away with Me,Run Away with Me,Run Away with Me,Run Away with Me,Run Away with Me,-,Run Away with Me,-,-,-,-,-,-,Run Away with Me,-,-,-,-,-,Run Away with Me,Run Away with Me,-,Run Away with Me,Run Away with Me,-,-,-,Run Away with Me,-,-,-,-,-,Run Away with Me,-,-,-,-,-,Run Away with Me,Run Away with Me,Run Away with Me,-,-,-,-,-,Run Away with Me,-,-,-,-,-,-,-,-,-,Run Away with Me,Run Away with Me,-,-,-,-,-,-,-,-,-,Run Away with Me,Run Away with Me,Run Away with Me,Run Away with Me,Run Away with Me,-,-,-,-,Run Away with Me
2,Wilderado,Latigo EP,Rubble To Rubble,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Rubble To Rubble,Rubble To Rubble
5,Jungle,Loving In Stereo,Romeo (feat. Bas),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Romeo (feat. Bas),Romeo (feat. Bas),Romeo (feat. Bas),Romeo (feat. Bas),Romeo (feat. Bas)
15,Erthlings,Indigo - EP,Returning,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Returning,Returning,Returning,Returning,Returning,Returning,Returning,Returning,Returning,-,Returning,Returning,Returning,Returning,-,-,-,Returning,-,-,-,-,Returning
3,Ritt Momney,Put Your Records On - Single,Put Your Records On,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Put Your Records On,Put Your Records On,Put Your Records On
5,Carly Rae Jepsen,Dedicated,Party for One,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Party for One,Party for One,Party for One,Party for One,-,-,Party for One
9,Emily Warren,Quiet Your Mind,Paranoid,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Paranoid,Paranoid,Paranoid,Paranoid,Paranoid,Paranoid,Paranoid,-,-,-,-,-,-,-,Paranoid,-,-,-,-,Paranoid
5,Rafael Casal,Oxygen - Single,Oxygen,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Oxygen,Oxygen,Oxygen,Oxygen,Oxygen
26,Mike Shinoda,Post Traumatic,Over Again,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Over Again,Over Again,Over Again,Over Again,Over Again,Over Again,Over Again,Over Again,Over Again,Over Again,Over Again,Over Again,Over Again,Over Again,Over Again,Over Again,Over Again,-,Over Again,Over Again,Over Again,Over Again,Over Again,-,Over Again,-,Over Again,-,-,-,-,-,-,-,Over Again,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Over Again
30,Red Hot Chili Peppers,Californication,Otherside,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Otherside,Otherside,Otherside,Otherside,Otherside,Otherside,Otherside,Otherside,Otherside,Otherside,Otherside,Otherside,Otherside,-,-,Otherside,-,-,-,Otherside,Otherside,Otherside,Otherside,-,Otherside,Otherside,Otherside,Otherside,-,-,-,-,-,-,Otherside,Otherside,Otherside,Otherside,Otherside,Otherside,-,-,-,-,-,-,-,-,-,Otherside,-,-,-,-,-,-,-,Otherside
5,Adele,30,Oh My God [2],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Oh My God [2],Oh My God [2],Oh My God [2],Oh My God [2],Oh My God [2]
10,Electric Guest,Plural,Oh Devil,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Oh Devil,Oh Devil,Oh Devil,Oh Devil,Oh Devil,Oh Devil,Oh Devil,-,Oh Devil,Oh Devil,-,Oh Devil
5,Honne,"LET’S JUST SAY THE WORLD ENDED A WEEK FROM NOW, WHAT WOULD YOU DO?",NOW I'M ALONE (feat. Sofía Valdés),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NOW I'M ALONE (feat. Sofía Valdés),NOW I'M ALONE (feat. Sofía Valdés),NOW I'M ALONE (feat. Sofía Valdés),NOW I'M ALONE (feat. Sofía Valdés),NOW I'M ALONE (feat. Sofía Valdés)
5,ella jane,THIS IS NOT WHAT IT LOOKS LIKE!,nothing else i could do,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,nothing else i could do,nothing else i could do,nothing else i could do,nothing else i could do,nothing else i could do
3,DJ Shadow,The Mountain Will Fall,Nobody Speak (feat. Run The Jewels),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Nobody Speak (feat. Run The Jewels),Nobody Speak (feat. Run The Jewels),-,-,Nobody Speak (feat. Run The Jewels)
22,Hozier,"Wasteland, Baby!",Nobody,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Nobody,Nobody,Nobody,Nobody,Nobody,Nobody,Nobody,Nobody,Nobody,Nobody,Nobody,Nobody,Nobody,-,-,-,-,Nobody,Nobody,-,-,-,-,-,-,-,Nobody,-,Nobody,Nobody,Nobody,-,-,-,Nobody,Nobody,-,Nobody
